" Driving down to the South Coast, thinking of the waves.",0.92,13.76
" Watching the rolling green landscapes against the gray skies, braving the cold wind",16.0,26.4
 to get some fresh air.,26.72,29.3
 Maybe it'll help us wake from winter-brain fall.,31.92,38.34
" Therefore, we step gingerly over a stir.",40.02,44.82
" Pick Nick Mouth, threatening to escape with the tug-of-en-visitable hands.",48.04,54.98
" Back in the office, back to cardboard loyalties, a rainbow-coloured furniture, free-coffee",58.3,64.44
 antique.,64.44,65.28
" I'm too wait if I water-cooler into a messy, we work out to play hard.",66.14,71.74
 We're a family.,72.5,73.5
" Public transport helped together with duct tape and patched, returning home to electric bills",74.36,79.76
 like these and taxes.,79.8,81.46
 Is this really how it turns out to be?,82.22,85.82
 Is this life for me?,86.04,88.98
