" Driving down to the south coast, thinking of the waves",0.0,12.84
 Watching the rolling green landscapes against the grey skies,15.92,21.24
 Waving the cold wind to get some fresh air,24.0,28.5
 Maybe it'll help us wake from winter brain fog,31.8,36.72
 Therefore we step gingerly over the stones,39.96,45.04
 Picnic math threatening to escape with a tug of invisible hands,48.0,53.56
" Back in the office, back to cardboard loyalties",58.22,61.24
" A rainbow-colored furniture, free coffee and tea",61.84,65.08
 Punctuated by water cooler intermissives,66.06,69.44
" We work hard to play hard, we're a family",69.84,73.3
 Public transport held together with duct tape and patches,74.2,77.28
 Returning home to electric bills like V's and Texas,77.5,80.98
 Is this really how it turns out to be?,81.48,84.9
 Is this life for me?,85.48,87.98
